aticker,coname,fmonth,fyear,che,ibd,teq,sale,oiadp,ni,dp,amort,avg_annual_mktcap,ticker
A001570,금양,12.0,2023,56301940000.0,338088365310.0,246535275350.0,152030952040.0,-14608343490.0,-60356260820.0,7012200000.0,879000.0,4797385000000.0,1570
A006280,녹십자,12.0,2023,49706128000.0,724022160140.0,1539863309480.0,1626643815820.0,34436169540.0,-19808730980.0,66443000000.0,9456000000.0,1383548000000.0,6280
A103140,풍산,12.0,2023,407883025000.0,702706390190.0,1965954520490.0,4125263947250.0,228636480720.0,156440326540.0,90155367600.0,545006930.0,1055240000000.0,103140
A257720,실리콘투,12.0,2023,17217510000.0,63795021580.0,134951936180.0,342860997940.0,47809343470.0,38013204270.0,3662500440.0,37600890.0,365381000000.0,257720
A039030,이오테크닉스,12.0,2023,200056020000.0,9078645980.0,562459514540.0,316384019470.0,28334755250.0,36393252840.0,7139744000.0,719101000.0,1426956000000.0,39030
A003690,코리안리,12.0,2023,887678799140.0,0.0,3252895729250.0,5338463823900.0,363673397050.0,283868821000.0,6819000000.0,13105000000.0,1096681000000.0,3690
A008770,호텔신라,12.0,2023,411692317000.0,1600080676000.0,608492780180.0,3568466181320.0,91230447820.0,85978496130.0,114557108610.0,13084876730.0,3024813000000.0,8770
A047040,대우건설,12.0,2023,981645298000.0,2704824698810.0,4061915414130.0,11647800864690.0,662517552610.0,521479149760.0,118554000000.0,8555000000.0,1791978000000.0,47040
A357780,솔브레인,12.0,2023,160827491000.0,1685504370.0,918822162390.0,844029122460.0,133488376250.0,130955384410.0,60017650000.0,516531000.0,1888722000000.0,357780
A192820,코스맥스,12.0,2023,256890168000.0,656208049930.0,358561439280.0,1777494448320.0,115685779860.0,37799983050.0,55655166410.0,3778484590.0,1150896000000.0,192820
A178320,서진시스템,12.0,2023,16050215000.0,658466688000.0,498095317750.0,778694260990.0,48998367200.0,-22709745340.0,77515306560.0,803833180.0,647343000000.0,178320
A069620,대웅제약,12.0,2023,111506188000.0,441269967330.0,912281029370.0,1375328744870.0,122591949290.0,120002904220.0,32583358000.0,11213494000.0,1302232000000.0,69620
A000990,DB하이텍,12.0,2023,253329764000.0,114951605230.0,1740082437740.0,1154223638940.0,265437456380.0,264149250970.0,128137000000.0,5272000000.0,2463351000000.0,990
A000080,하이트진로,12.0,2023,272487716000.0,1066004973360.0,1115875628340.0,2520181551620.0,123919983380.0,35511119930.0,138991111160.0,10803327140.0,1556024000000.0,80
A007660,이수페타시스,12.0,2023,47962801000.0,229588968000.0,266778163290.0,675332755700.0,62169058400.0,47723051480.0,14956496000.0,376617000.0,1295664000000.0,7660
A005850,에스엘,12.0,2023,313793459000.0,363480385240.0,2009119403480.0,4838846695980.0,386185752880.0,349266124220.0,142159464560.0,11017140580.0,1476598000000.0,5850
A089030,테크윙,12.0,2023,13614104000.0,232260462520.0,215586935420.0,133604260260.0,3160487060.0,-11097331440.0,7261939000.0,3007269000.0,283871000000.0,89030
A310210,보로노이,12.0,2023,12856148000.0,12294922950.0,81343825330.0,0.0,-31335510470.0,-36848289920.0,2691343000.0,13664000.0,649167000000.0,310210
A139130,DGB금융지주,12.0,2023,341757143000.0,20276654824510.0,6283554118120.0,4027411785610.0,534254826710.0,412181438040.0,139776965150.0,0.0,1279226000000.0,139130
A112040,위메이드,12.0,2023,314809390000.0,180811227840.0,400778285000.0,605252428310.0,-110440776860.0,-206682445620.0,11408383000.0,9557856000.0,1534734000000.0,112040
A042670,HD현대인프라코어,12.0,2023,239481458000.0,1307366302980.0,1813316002020.0,4659604596060.0,418264367870.0,230712444490.0,102165000000.0,49411000000.0,1837628000000.0,42670
A082740,한화엔진,12.0,2023,102831937000.0,222304004000.0,224148291130.0,854384414140.0,8728565170.0,-426426610.0,14102119000.0,926764000.0,633357000000.0,82740
A140860,파크시스템스,12.0,2023,70946861000.0,27411884090.0,143484613950.0,144806376320.0,27560237100.0,24562474110.0,4315041000.0,359574000.0,1096434000000.0,140860
A036930,주성엔지니어링,12.0,2023,110639608000.0,50929460600.0,514747817840.0,284745246660.0,28937462810.0,34000802280.0,18289173060.0,1238686800.0,1026982000000.0,36930
A007390,네이처셀,12.0,2023,29891504000.0,2314966720.0,61419188330.0,19350887020.0,-10272984980.0,-11680328640.0,1560849900.0,189720970.0,656308000000.0,7390
A293490,카카오게임즈,12.0,2023,653717833000.0,1308048883730.0,1625527793500.0,1025085964280.0,74516883010.0,-322405861210.0,34614069000.0,61406804000.0,2872490000000.0,293490
A078600,대주전자재료,12.0,2023,41429133000.0,229726619380.0,156880996880.0,184988881820.0,6208941100.0,628120910.0,8477818000.0,527440000.0,1418048000000.0,78600
A014820,동원시스템즈,12.0,2023,77908426000.0,510982620580.0,774050786160.0,1276650646410.0,80851256460.0,64350437870.0,73022667180.0,6053395310.0,1096746000000.0,14820
A253450,스튜디오드래곤,12.0,2023,158381171000.0,170000000000.0,707770023250.0,753145749930.0,55871055690.0,30082921090.0,3032386000.0,183082438000.0,1848696000000.0,253450
A035760,CJ ENM,12.0,2023,1032592198000.0,3257324520550.0,4177764497890.0,4368360656510.0,-14600378000.0,-396774722680.0,77468012000.0,899110917000.0,1650863000000.0,35760
A298380,에이비엘바이오,12.0,2023,28064217000.0,43937998000.0,74079110480.0,65547054620.0,-2617101000.0,-2646663290.0,2409235000.0,180543000.0,977539000000.0,298380
A001720,신영증권,3.0,2023,223924011000.0,4887603142810.0,1688472265970.0,358248952880.0,170377256790.0,149387962240.0,10289266000.0,3175880000.0,534184000000.0,1720
A137310,에스디바이오센서,12.0,2023,482383087000.0,603953496000.0,2831546402270.0,655676513230.0,-248084569660.0,-467904096950.0,61182372000.0,76358828000.0,1855647000000.0,137310
A004170,신세계,12.0,2023,802458636000.0,4857109477850.0,6339988828490.0,6357088542140.0,639780613580.0,311968012600.0,444164000000.0,53304000000.0,1950632000000.0,4170
A294870,HDC현대산업개발,12.0,2023,558231008000.0,2180221569000.0,3008017194690.0,4190788148340.0,195313165140.0,172890219220.0,57052000000.0,2725000000.0,764557000000.0,294870
A161890,한국콜마,12.0,2023,170839479000.0,1102832321140.0,1418590136560.0,2155675927420.0,136143340000.0,25138828950.0,72651859450.0,21076243510.0,1056583000000.0,161890
A073240,금호타이어,12.0,2023,258508607000.0,2244311859360.0,1399056998590.0,4041412157680.0,411010498490.0,171848469730.0,273541000000.0,318000000.0,1241486000000.0,73240
A005290,동진쎄미켐,12.0,2023,272560514000.0,602452174120.0,835481646770.0,1309924437990.0,176174316070.0,123534360580.0,53748899300.0,1768505900.0,1799465000000.0,5290
A950160,코오롱티슈진,12.0,2023,27432527000.0,6475535000.0,114963380000.0,3706059000.0,-20504264000.0,-17224364000.0,1297973000.0,113743000.0,662078000000.0,950160
A185750,종근당,12.0,2023,219646348000.0,219763880300.0,815635168740.0,1669404438760.0,246599279040.0,213602186970.0,33610051000.0,3419825000.0,1145630000000.0,185750
A020150,롯데에너지머티리얼즈,12.0,2023,551987465000.0,227791011580.0,1965832679840.0,809006057000.0,11805382260.0,-45120189140.0,76129457000.0,834866000.0,2480067000000.0,20150
A375500,DL이앤씨,12.0,2023,2004092329000.0,1269339420730.0,4768781215290.0,7991063616680.0,330659390230.0,202169475520.0,77655000000.0,10086000000.0,1317589000000.0,375500
A067630,HLB생명과학,12.0,2023,16768575000.0,166577500470.0,231212934280.0,97990440680.0,-24532796110.0,-5913047180.0,6302421000.0,1393569000.0,1039189000000.0,67630
A003090,대웅,12.0,2023,161685947000.0,448846197190.0,1436798777410.0,1813841462120.0,195606282850.0,191438974290.0,42976030000.0,11245155000.0,917260000000.0,3090
A006040,동원산업,12.0,2023,637868932000.0,3120477593750.0,3135721276460.0,8948570757960.0,464733626620.0,272187151010.0,277522002410.0,15549340750.0,1992067000000.0,6040
A096530,씨젠,12.0,2023,190340922000.0,141763877460.0,1030398975550.0,367375048980.0,-30053478760.0,733203510.0,60825244000.0,4886025000.0,1223342000000.0,96530
